Variable,Variable Label,Value,Value Label
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1I,"[Muscle or body aches] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1J,"[Headaches] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1K,"[Fatigue or tiredness] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1L,"[Shortness of breath] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1M,"[Abdominal discomfort] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1N,"[Nausea or vomiting] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1O,"[Diarrhea] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1P,"[Changed or lost sense of taste or smell] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1Q,"[Loss of appetite] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC5A,"[Felt nervous, anxious, or on edge] In the past 7 days, how often have you?",1,(1) Not at all or less than 1 day
,,2,(2) 1-2 days
,,3,(3) 3-4 days
,,4,(4) 5-7 days
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC5B,"[Felt depressed] In the past 7 days, how often have you?",1,(1) Not at all or less than 1 day
,,2,(2) 1-2 days
,,3,(3) 3-4 days
,,4,(4) 5-7 days
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC5C,"[Felt lonely] In the past 7 days, how often have you?",1,(1) Not at all or less than 1 day
,,2,(2) 1-2 days
,,3,(3) 3-4 days
,,4,(4) 5-7 days
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC5D,"[Felt hopeless about the future] In the past 7 days, how often have you?",1,(1) Not at all or less than 1 day
,,2,(2) 1-2 days
,,3,(3) 3-4 days
,,4,(4) 5-7 days
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC5E,"[Had physical reactions such as sweating, trouble breathing, nausea or a pounding heart when thinking about your experience with the coronavirus pandemic] In the past 7 days, how often have you?",1,(1) Not at all or less than 1 day
,,2,(2) 1-2 days
,,3,(3) 3-4 days
,,4,(4) 5-7 days
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS2_1,"[Canceled a doctor appointment] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_2,"[Worn a face mask] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_3,"[Visited a doctor or hospital] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_4,"[Canceled or postponed work activities] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_5,"[Canceled or postponed school activities] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_6,"[Canceled or postponed dentist or other appointment] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_7,"[Canceled outside housekeepers or caregivers] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_8,"[Avoided some or all restaurants] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_9,"[Worked from home] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_10,"[Studied from home] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_11,"[Canceled or postponed pleasure, social, or recreational activites] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_12,"[Stockpiled food or water] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_13,"[Avoided public or crowded places] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_14,"[Prayed] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_15,"[Avoided contact with high-risk people] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_16,"[Washed or sanitized hands] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_17,"[Kept six feet distance from those outside my household] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_18,"[Stayed home because I felt unwell] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_19,"[Wiped packages entering my home] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_DK,"[DON'T KNOW] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_SKP,"[SKIPPED ON WEB] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS2_REF,"[REFUSED] Which of the following measures, if any, are you taking in response to the coronavirus?",0,(0) No
,,1,(1) Yes
PHYS10A,"[Installing an app on your phone that asks you questions about your own symptoms and provides recommendations about COVID-19] If these options were available to you, how likely would you be to participate in them?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,88,(88) Already done this
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS10B,"[Installing an app on your phone that tracks your location and sends push notifications if you might have been exposed to COVID-19] If these options were available to you, how likely would you be to participate in them?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,88,(88) Already done this
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS10C,"[Using a website to log your symptoms and location and get recommendations about COVID-19] If these options were available to you, how likely would you be to participate in them?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,88,(88) Already done this
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS10D,"[Testing you for COVID-19 infection using a q-tip to swab your cheek or nose] If these options were available to you, how likely would you be to participate in them?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,88,(88) Already done this
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS10E,"[Testing you for immunity or resistance to COVID-19 by drawing a small amount of blood] If these options were available to you, how likely would you be to participate in them?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,88,(88) Already done this
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8A,"[K-12 school closure] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8B,"[Pre-K or child care closure] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8C,"[College or training closure] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8D,"[Ban on gatherings of 250 people or more] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8E,"[Ban on gatherings of 50 people or more] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8F,"[Ban on gatherings of 10 people or more] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8G,"[Closure of place of worship] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8H,"[Reduced public transportation] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8I,"[Other reduced public services] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8J,"[Closure of bars] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8K,"[Closure of restaurants] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8L,"[Closure of gyms or fitness facilities] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8M,"[Closure of other businesses] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8N,"[Canceled sport events] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8O,"[Closure of work] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8P,"[Work from home requirements] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8Q,"[Quarantine requirements or stay-at-home orders] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8R,"[International travel restrictions or bans] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON8S,"[Domestic travel restrictions or bans] In the past 7 days, have your personal plans been changed or affected by the following types of restrictions, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON7_1,"[Put it on my credit card and pay it off in full at the next statement] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_2,"[Put it on my credit card and pay it off over time] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_3,"[Use money currently in my checking or savings account or with cash] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_4,"[Use money from a bank loan or line of credit] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_5,"[Borrow from a friend or family member] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_6,"[Use a payday loan, deposit advance or overdraft] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_7,"[Sell something] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_8,"[I would not be able to pay for it right now] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_DK,"[DON'T KNOW] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_SKP,"[SKIPPED ON WEB] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON7_REF,"[REFUSED] Based on your current financial situation, how would you pay for this expense?",0,(0) No
,,1,(1) Yes
ECON1,"In the past 7 days, did you do any work for pay at a job or business?",1,"(1) Yes, I worked for someone else for wages, salary, piece"
,,2,"(2) Yes, I worked as self-employed in my own business, profe"
,,3,"(3) No, I did not work for pay last week."
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON2,How many hours did you work last week at all jobs?,777,(777) DON'T KNOW
,,998,(998) SKIPPED ON WEB
,,999,(999) REFUSED
ECON4,What was your main reason for not working for pay?,1,(1) I do not want to be employed at this time
,,2,(2) I am retired
,,3,(3) I was laid-off temporarily or furloughed
,,4,(4) I was not at my usual jobs because I was caring for chil
,,5,(5) I was not at my usual jobs because I was caring for an e
,,6,(6) I was not at my usual jobs because I was caring for some
,,7,(7) I was not at my usual jobs because I was recovering from
,,8,(8) I was unemployed but looking for work since before March
,,9,(9) I was unemployed and began looking for work after March
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON3,"Prior to March 1, 2020 when COVID-19 began spreading in the United States, how many hours did you usually work each week?",777,(777) DON'T KNOW
,,998,(998) SKIPPED ON WEB
,,999,(999) REFUSED
ECON4A,"Think about 30 days from now, how likely do you think it is that you will be employed at that time?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON4B,"Think about 3 months from now, how likely do you think it is that you will be employed at that time?",1,(1) Extremely likely
,,2,(2) Very likely
,,3,(3) Moderately likely
,,4,(4) Not too likely
,,5,(5) Not likely at all
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6A,"[Unemployment insurance] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6B,"[SNAP (Supplemental Nutrition Assistance Program)] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6C,"[TANF (Temporary Assistance for Needy Families)] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6D,"[Social Security] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6E,"[Supplemental Social Security] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6F,"[Any kind of government health insurance or health coverage plan including Medicaid, Medical Assistance or Medicare] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or no",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6G,"[Other aid from the government] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6H,"[Assistance from a union or other association] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6I,"[Assistance from a church or religious organization] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6J,"[Assistance from another community organization] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6K,"[A food pantry] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON6L,"[Other assistance] In the past 7 days, have you either received, applied for, or tried to apply for any of the following forms of income or assistance, or not?",1,(1) Received
,,2,(2) Applied for
,,3,(3) Tried to apply for
,,4,(4) Did not receive nor apply for any
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON5A_A,"[We worried our food would run out before we got money to buy more] Please indicate whether the following statements were often true, sometimes true, or never true for you or your household over the past 30 days.",1,(1) Often true
,,2,(2) Sometimes true
,,3,(3) Never true
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
ECON5A_B,"[The food that we bought just didn't last, and we didn't have money to get more] Please indicate whether the following statements were often true, sometimes true, or never true for you or your household over the past 30 days.",1,(1) Often true
,,2,(2) Sometimes true
,,3,(3) Never true
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS7_1,[Felt hot or feverish] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS7_2,[Felt chilly or cold or had chills] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS7_3,[Been sweating more than usual] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS7_4,[Have not felt any of these] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS7_DK,[DON'T KNOW] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS7_SKP,[SKIPPED ON WEB] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS7_REF,[REFUSED] Please indicate if you have felt any of the following in the past 7 days.,0,(0) No
,,1,(1) Yes
PHYS11,Can you use a thermometer to take your temperature now?,1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS11_TEMP,Can you use a thermometer to take your temperature now? [Recorded temperature],777,(777) DON'T KNOW
,,888,(888) OUT OF RANGE
,,998,(998) SKIPPED ON WEB
,,999,(999) REFUSED
PHYS9A,[Insurance through a current or former employer or union of yours or another family member] Are you currently covered by any of the following types of health insurance or health coverage plans?,1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS9B,[Insurance purchased directly from an insurance company by you or another family member] Are you currently covered by any of the following types of health insurance or health coverage plans?,1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS9C,[TRICARE or other military health care] Are you currently covered by any of the following types of health insurance or health coverage plans?,1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS9D,"[Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or a disability] Are you currently covered by any of the following types of health insurance or health coverage plans?",1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS9E,"[Medicare, for people 65 and older, or people with certain disabilities] Are you currently covered by any of the following types of health insurance or health coverage plans?",1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS9F,"[The Veteran's Administration, meaning you are currently enrolled for VA health care] Are you currently covered by any of the following types of health insurance or health coverage plans?",1,(1) Yes
,,2,(2) No
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
